,,Bulan,Aktual y_i (%),Prediksi ŷ_i (%),Error (y_i − ŷ_i),Error²,|Error/y_i|×100%
Esha — Train,20,Sep 2024,83.33,81.14,2.1897,4.7949,2.63
Esha — Train,21,Oct 2024,77.42,80.22,-2.8003,7.8414,3.62
Esha — Train,22,Nov 2024,66.67,72.62,-5.9536,35.4453,8.93
Esha — Train,23,Dec 2024,70.97,74.16,-3.1876,10.1607,4.49
Esha — Train,24,Jan 2025,67.74,72.01,-4.2657,18.1961,6.3
Esha — Train,25,Feb 2025,57.14,71.71,-14.5666,212.1849,25.49
Esha — Train,26,Mar 2025,51.61,53.06,-1.4507,2.1045,2.81
Esha — Train,27,Apr 2025,73.33,55.73,17.6081,310.0469,24.01
Esha — Train,28,May 2025,45.16,59.47,-14.3107,204.7971,31.69
Esha — Train,29,Jumlah,—,—,—,13912.195,693.75%
Esha — Train,30,RMSE,—,—,—,sqrt(1/29 * 13912.1950) = sqrt479.7309 = 21.90%,—
Esha — Train,31,MAPE,—,—,—,—,1/29 * 693.75 = 23.92%
Ozamiz — Test,0,Jun 2025,76.67,57.66,19.0081,361.3086,24.79
Ozamiz — Test,1,Jul 2025,93.55,90.67,2.8813,8.3019,3.08
Ozamiz — Test,2,Aug 2025,80.65,75.62,5.0214,25.2149,6.23
Ozamiz — Test,3,Sep 2025,56.67,46.3,10.3699,107.5342,18.3
Ozamiz — Test,4,Oct 2025,58.06,81.25,-23.1816,537.3866,39.92
Ozamiz — Test,5,Nov 2025,63.33,54.25,9.087,82.5742,14.35
Ozamiz — Test,6,Dec 2025,87.1,59.51,27.5823,760.7847,31.67
Ozamiz — Test,7,Jumlah,—,—,—,1883.105,138.34%
Ozamiz — Test,8,RMSE,—,—,—,sqrt(1/7 * 1883.1050) = sqrt269.0150 = 16.40%,—
Ozamiz — Test,9,MAPE,—,—,—,—,1/7 * 138.34 = 19.76%
Ozamiz — Train,0,Jan 2023,93.55,0.0,93.5484,8751.3007,100.0
Ozamiz — Train,1,Feb 2023,50.0,0.0,50.0,2500.0,100.0
Ozamiz — Train,2,Mar 2023,25.81,0.0,25.8065,665.9729,100.0
Ozamiz — Train,3,Apr 2023,60.0,0.0,60.0,3600.0,100.0
Ozamiz — Train,4,May 2023,61.29,0.0,61.2903,3756.5036,100.0
Ozamiz — Train,5,Jun 2023,60.0,0.0,60.0,3600.0,100.0
Ozamiz — Train,6,Jul 2023,64.52,93.55,-29.0316,842.8343,45.0
Ozamiz — Train,7,Aug 2023,51.61,50.0,1.6165,2.6132,3.13
Ozamiz — Train,8,Sep 2023,63.33,25.81,37.5278,1408.3347,59.25
Ozamiz — Train,9,Oct 2023,77.42,60.0,17.4243,303.6055,22.51
Ozamiz — Train,10,Nov 2023,60.0,61.28,-1.2845,1.6501,2.14
Ozamiz — Train,11,Dec 2023,58.06,59.99,-1.9305,3.7266,3.32
Ozamiz — Train,12,Jan 2024,93.55,64.52,29.0262,842.5204,31.03
Ozamiz — Train,13,Feb 2024,48.28,51.61,-3.3369,11.135,6.91
Ozamiz — Train,14,Mar 2024,25.81,63.33,-37.5197,1407.726,145.39
Ozamiz — Train,15,Apr 2024,80.0,77.42,2.582,6.6669,3.23
Ozamiz — Train,16,May 2024,35.48,59.81,-24.3251,591.7122,68.55
Ozamiz — Train,17,Jun 2024,70.0,59.85,10.1496,103.014,14.5
Ozamiz — Train,18,Jul 2024,100.0,94.2,5.795,33.5825,5.8
Ozamiz — Train,19,Aug 2024,93.55,47.24,46.3107,2144.6837,49.5
Ozamiz — Train,20,Sep 2024,76.67,21.01,55.6611,3098.156,72.6
Ozamiz — Train,21,Oct 2024,77.42,73.36,4.0611,16.4923,5.25
Ozamiz — Train,22,Nov 2024,53.33,45.69,7.6442,58.4341,14.33
Ozamiz — Train,23,Dec 2024,51.61,62.82,-11.2077,125.6121,21.71
Ozamiz — Train,24,Jan 2025,80.65,97.02,-16.3724,268.0551,20.3
Ozamiz — Train,25,Feb 2025,85.71,71.59,14.1238,199.4831,16.48
Ozamiz — Train,26,Mar 2025,32.26,49.3,-17.0411,290.3989,52.83
Ozamiz — Train,27,Apr 2025,93.33,78.81,14.5231,210.9217,15.56
Ozamiz — Train,28,May 2025,74.19,48.89,25.3002,640.099,34.1
Ozamiz — Train,29,Jumlah,—,—,—,35485.2346,1313.43%
Ozamiz — Train,30,RMSE,—,—,—,sqrt(1/29 * 35485.2346) = sqrt1223.6288 = 34.98%,—
Ozamiz — Train,31,MAPE,—,—,—,—,1/29 * 1313.43 = 45.29%
